name,grade,city,gugun,dong,address,lat,lng
풍문고등학교,고등학교,서울특별시,강남구,자곡동,서울특별시 강남구 자곡로 152,37.4712504,127.1006925
한울중학교,중학교,서울특별시,금천구,시흥동,서울특별시 금천구 독산로50길 60,37.462335,126.9074
서울항동초등학교,초등학교,서울특별시,구로구,항동,서울특별시 구로구 연동로 178,37.4767306,126.8239832
서울숭신초등학교,초등학교,서울특별시,성동구,하왕십리동,서울특별시 성동구 마장로 161,37.5677035,127.0277668
내곡중학교,중학교,서울특별시,서초구,신원동,서울특별시 서초구 청계산로7길 9-20,37.45200217,127.0544427
해누리중학교,중학교,서울특별시,송파구,가락동,서울특별시 송파구 송파대로37길 95,37.49761178,127.1025328
한양공업고등학교,고등학교,서울특별시,중구,신당동,서울특별시 중구 을지로 299,37.565376,127.0118163
성동공업고등학교,고등학교,서울특별시,중구,흥인동,서울특별시 중구 다산로 290,37.5693545,127.0171338
성동글로벌경영고등학교,고등학교,서울특별시,중구,신당동,서울특별시 중구 퇴계로 375,37.5656443,127.0132205
대동세무고등학교,고등학교,서울특별시,종로구,계동,서울특별시 종로구 계동길 84-10,37.5819196,126.9879303
서일국제경영고등학교,고등학교,서울특별시,종로구,창신동,서울특별시 종로구 지봉로17길 49,37.5793722,127.0130226
경기상업고등학교,고등학교,서울특별시,종로구,청운동,서울특별시 종로구 자하문로 136,37.58925889,126.9700589
서울아이티고등학교,고등학교,서울특별시,노원구,중계동,서울특별시 노원구 섬밭로 299,37.6421764,127.0619553
미래산업과학고등학교,고등학교,서울특별시,노원구,중계동,서울특별시 노원구 덕릉로82길 54,37.6590494,127.0786348
동산정보산업고등학교,고등학교,서울특별시,노원구,공릉동,서울특별시 노원구 공릉로 257,37.6301266,127.0741844
인덕공업고등학교,고등학교,서울특별시,노원구,월계동,서울특별시 노원구 초안산로 12,37.6313747,127.0555547
염광여자메디텍고등학교,고등학교,서울특별시,노원구,월계동,서울특별시 노원구 월계로45가길 9,37.63025824,127.0492435
영신간호비즈니스고등학교,고등학교,서울특별시,노원구,중계동,서울특별시 노원구 중계로16나길 13,37.6521121,127.0828722
광운전자공업고등학교,고등학교,서울특별시,노원구,월계동,서울특별시 노원구 광운로1길 24,37.6208454,127.0561467
경기기계공업고등학교,고등학교,서울특별시,노원구,하계동,서울특별시 노원구 공릉로 264,37.6344163,127.0742785
세그루패션디자인고등학교,고등학교,서울특별시,도봉구,쌍문동,서울특별시 도봉구 시루봉로 53,37.655351,127.0268289
서울문화고등학교,고등학교,서울특별시,도봉구,방학동,서울특별시 도봉구 마들로 598,37.6638554,127.0475357
성암국제무역고등학교,고등학교,서울특별시,강북구,미아동,서울특별시 강북구 도봉로29길 52,37.6207354,127.024471
고명경영고등학교,고등학교,서울특별시,성북구,동선동4가,서울특별시 성북구 북악산로 870,37.5975051,127.0199462
동구마케팅고등학교,고등학교,서울특별시,성북구,성북동,서울특별시 성북구 성북로8길 71,37.5935994,127.0071027
서울도시과학기술고등학교,고등학교,서울특별시,성북구,하월곡동,서울특별시 성북구 종암로 196,37.6074229,127.03236
이화여자대학교병설미디어고등학교,고등학교,서울특별시,중랑구,망우동,서울특별시 중랑구 망우로73길 56,37.6037439,127.1049794
송곡관광고등학교,고등학교,서울특별시,중랑구,망우동,서울특별시 중랑구 양원역로 67,37.6063172,127.1053983
정화여자상업고등학교,고등학교,서울특별시,동대문구,제기동,서울특별시 동대문구 홍릉로15길 50,37.5857448,127.0408473
해성국제컨벤션고등학교,고등학교,서울특별시,동대문구,전농동,서울특별시 동대문구 전농로20길 31,37.5812848,127.0569633
휘경공업고등학교,고등학교,서울특별시,동대문구,휘경동,서울특별시 동대문구 겸재로 21,37.5849213,127.0695589
서울방송고등학교,고등학교,서울특별시,성동구,옥수동,서울특별시 성동구 동호로5길 131,37.54777313,127.0110355
성수공업고등학교,고등학교,서울특별시,성동구,성수동2가,서울특별시 성동구 뚝섬로 365,37.540543,127.0514262
덕수고등학교,고등학교,서울특별시,성동구,행당동,서울특별시 성동구 왕십리로 199,37.55526278,127.0411407
서울디지텍고등학교,고등학교,서울특별시,용산구,이태원동,서울특별시 용산구 회나무로12길 27,37.538911,126.990534
선린인터넷고등학교,고등학교,서울특별시,용산구,청파동3가,서울특별시 용산구 원효로97길 33-4,37.5427814,126.9663628
용산공업고등학교,고등학교,서울특별시,용산구,한강로3가,서울특별시 용산구 서빙고로 24,37.5243031,126.9671858
대경상업고등학교,고등학교,서울특별시,중구,신당동,서울특별시 중구 매봉18길 111,37.55669583,127.0175331
리라아트고등학교,고등학교,서울특별시,중구,예장동,서울특별시 중구 소파로2길 24,37.5571155,126.988191
경기여자상업고등학교,고등학교,서울특별시,중구,중림동,서울특별시 중구 만리재로37길 30,37.5570331,126.9668351
영락유헬스고등학교,고등학교,서울특별시,관악구,봉천동,서울특별시 관악구 청룡16길 25,37.4763905,126.9446913
서울관광고등학교,고등학교,서울특별시,관악구,봉천동,서울특별시 관악구 은천로15길 25,37.4881856,126.9433831
광신정보산업고등학교,고등학교,서울특별시,관악구,신림동,서울특별시 관악구 광신길 141,37.4651377,126.9256312
서울여자상업고등학교,고등학교,서울특별시,관악구,봉천동,서울특별시 관악구 관악로 85,37.4731302,126.9513293
서울공업고등학교,고등학교,서울특별시,동작구,대방동,서울특별시 동작구 대방동1길 46,37.50190153,126.9223834
한강미디어고등학교,고등학교,서울특별시,영등포구,양평동4가,서울특별시 영등포구 선유로55길 22,37.5391173,126.8972396
동일여자상업고등학교,고등학교,서울특별시,금천구,시흥동,서울특별시 금천구 탑골로10길 45,37.45167193,126.9168874
서서울생활과학고등학교,고등학교,서울특별시,구로구,궁동,서울특별시 구로구 오리로 1355-10,37.5032117,126.8281605
유한공업고등학교,고등학교,서울특별시,구로구,항동,서울특별시 구로구 경인로 8,37.4878646,126.8240073
덕일전자공업고등학교,고등학교,서울특별시,구로구,오류동,서울특별시 구로구 서해안로21길 5-12,37.490578,126.8371091
예림디자인고등학교,고등학교,서울특별시,구로구,궁동,서울특별시 구로구 오리로21길 2,37.4996945,126.8282053
영등포공업고등학교,고등학교,서울특별시,강서구,가양동,서울특별시 강서구 허준로5길 15,37.5692245,126.8504967
서울항공비즈니스고등학교,고등학교,서울특별시,강서구,마곡동,서울특별시 강서구 방화대로34길 13,37.5697071,126.8170866
신정여자상업고등학교,고등학교,서울특별시,강서구,화곡동,서울특별시 강서구 등촌로13아길 20,37.5380245,126.8568925
화곡보건경영고등학교,고등학교,서울특별시,강서구,내발산동,서울특별시 강서구 강서로45길 70,37.5488204,126.8328267
강서공업고등학교,고등학교,서울특별시,강서구,방화동,서울특별시 강서구 방화대로47길 9,37.5754999,126.8160214
서울영상고등학교,고등학교,서울특별시,양천구,신정동,서울특별시 양천구 목동로11길 46,37.5231812,126.8600333
서울금융고등학교,고등학교,서울특별시,양천구,신월동,서울특별시 양천구 가로공원로61길 19,37.5378303,126.8255403
서울디자인고등학교,고등학교,서울특별시,마포구,염리동,서울특별시 마포구 백범로 139,37.5463299,126.9473737
한세사이버보안고등학교,고등학교,서울특별시,마포구,아현동,서울특별시 마포구 마포대로11길 44-80,37.5517898,126.9520321
홍익디자인고등학교,고등학교,서울특별시,마포구,연남동,서울특별시 마포구 성미산로 111,37.56350983,126.9191674
세명컴퓨터고등학교,고등학교,서울특별시,은평구,불광동,서울특별시 은평구 통일로92가길 33,37.6275592,126.9231578
은평메디텍고등학교,고등학교,서울특별시,은평구,진관동,서울특별시 은평구 진관2로 57-57,37.6351761,126.929375
신진과학기술고등학교,고등학교,서울특별시,은평구,응암동,서울특별시 은평구 은평로6길 16,37.5983306,126.9184276
동명여자정보산업고등학교,고등학교,서울특별시,은평구,대조동,서울특별시 은평구 통일로 793,37.6146895,126.9240099
예일디자인고등학교,고등학교,서울특별시,은평구,구산동,서울특별시 은평구 연서로 117,37.6101791,126.9151623
선일이비즈니스고등학교,고등학교,서울특별시,은평구,갈현동,서울특별시 은평구 갈현로29길 27,37.6197497,126.9126173
선정관광고등학교,고등학교,서울특별시,은평구,갈현동,서울특별시 은평구 서오릉로20길 19,37.618336,126.9087149
상일미디어고등학교,고등학교,서울특별시,강동구,상일동,서울특별시 강동구 천호대로219길 61,37.54795369,127.1702183
서울컨벤션고등학교,고등학교,서울특별시,강동구,고덕동,서울특별시 강동구 동남로 964,37.5592845,127.1576771
성덕고등학교,고등학교,서울특별시,강동구,천호동,서울특별시 강동구 구천면로 396,37.5495007,127.1425564
일신여자상업고등학교,고등학교,서울특별시,송파구,송파동,서울특별시 송파구 송파대로38길 8,37.5017159,127.1135991
송파공업고등학교,고등학교,서울특별시,송파구,거여동,서울특별시 송파구 양산로 21,37.4917279,127.1424358
대진디자인고등학교,고등학교,서울특별시,강남구,수서동,서울특별시 강남구 광평로39길 93,37.4904401,127.0960046
단국공업고등학교,고등학교,서울특별시,강남구,대치동,서울특별시 강남구 도곡로64길 21,37.4953357,127.0564936
서울로봇고등학교,고등학교,서울특별시,강남구,일원동,서울특별시 강남구 광평로20길 63,37.4807426,127.0843315
서울전자고등학교,고등학교,서울특별시,서초구,방배동,서울특별시 서초구 과천대로 852-23,37.4693105,126.988415
한영외국어고등학교,고등학교,서울특별시,강동구,상일동,서울특별시 강동구 동남로 832,37.5489092,127.1581466
서울체육고등학교,고등학교,서울특별시,송파구,방이동,서울특별시 송파구 강동대로 232,37.5216734,127.130579
수도전기공업고등학교,고등학교,서울특별시,강남구,개포동,서울특별시 강남구 개포로 410,37.48493808,127.0644798
국립국악고등학교,고등학교,서울특별시,강남구,개포동,서울특별시 강남구 개포로22길 65,37.475978,127.0516132
미림여자정보과학고등학교,고등학교,서울특별시,관악구,신림동,서울특별시 관악구 호암로 546,37.4665516,126.932908
국립전통예술고등학교,고등학교,서울특별시,금천구,시흥동,서울특별시 금천구 시흥대로38길 62,37.4462133,126.9064871
서울공연예술고등학교,고등학교,서울특별시,구로구,궁동,서울특별시 구로구 오리로22나길 16-26,37.5000848,126.8322027
세종과학고등학교,고등학교,서울특별시,구로구,궁동,서울특별시 구로구 오리로21길 79,37.4968072,126.8276182
덕원예술고등학교,고등학교,서울특별시,강서구,내발산동,서울특별시 강서구 강서로45길 91-44,37.5485816,126.8290111
명덕외국어고등학교,고등학교,서울특별시,강서구,내발산동,서울특별시 강서구 강서로47길 34-10,37.5536011,126.8347305
한성과학고등학교,고등학교,서울특별시,서대문구,현저동,서울특별시 서대문구 통일로 279-79,37.5759859,126.9527945
서울외국어고등학교,고등학교,서울특별시,도봉구,창동,서울특별시 도봉구 덕릉로66길 22,37.6455929,127.0519514
대일외국어고등학교,고등학교,서울특별시,성북구,정릉동,서울특별시 성북구 서경로 116,37.61330387,127.0141757
선화예술고등학교,고등학교,서울특별시,광진구,능동,서울특별시 광진구 천호대로 664,37.55098151,127.087093
대원외국어고등학교,고등학교,서울특별시,광진구,중곡동,서울특별시 광진구 용마산로22길 26,37.563079,127.0889497
이화여자외국어고등학교,고등학교,서울특별시,중구,순화동,서울특별시 중구 통일로4길 30,37.56557705,126.9696428
서울예술고등학교,고등학교,서울특별시,종로구,평창동,서울특별시 종로구 평창문화로 70,37.605391,126.9691915
서울국제고등학교,고등학교,서울특별시,종로구,명륜1가,서울특별시 종로구 성균관로13길 40,37.59134,126.9959635
서울과학고등학교,고등학교,서울특별시,종로구,혜화동,서울특별시 종로구 혜화로 63,37.5916754,126.9982134
대원고등학교,고등학교,서울특별시,광진구,중곡동,서울특별시 광진구 용마산로22길 26,37.563079,127.0889497
자양고등학교,고등학교,서울특별시,광진구,자양동,서울특별시 광진구 뚝섬로37길 28,37.535433,127.0728365
광남고등학교,고등학교,서울특별시,광진구,광장동,서울특별시 광진구 아차산로70길 17-16,37.5413411,127.101751
성수고등학교,고등학교,서울특별시,성동구,성수동1가,서울특별시 성동구 서울숲길 18,37.547981,127.0387013
무학여자고등학교,고등학교,서울특별시,성동구,행당동,서울특별시 성동구 고산자로 197,37.55676803,127.0335995
성심여자고등학교,고등학교,서울특별시,용산구,원효로4가,서울특별시 용산구 원효로19길 49,37.5341025,126.9542291
신광여자고등학교,고등학교,서울특별시,용산구,청파동3가,서울특별시 용산구 청파로 263,37.5431703,126.9699957
보성여자고등학교,고등학교,서울특별시,용산구,용산동2가,서울특별시 용산구 신흥로3가길 66,37.5426751,126.984496
배문고등학교,고등학교,서울특별시,용산구,서계동,서울특별시 용산구 효창원로 258,37.5499978,126.9639049
오산고등학교,고등학교,서울특별시,용산구,보광동,서울특별시 용산구 보광로7길 17,37.52378179,127.0008688
용산고등학교,고등학교,서울특별시,용산구,용산동2가,서울특별시 용산구 두텁바위로 60,37.5453891,126.979489
장충고등학교,고등학교,서울특별시,중구,신당동,서울특별시 중구 동호로15길 93,37.5531457,127.0065905
상명대학교사범대학부속여자고등학교,고등학교,서울특별시,종로구,홍지동,서울특별시 종로구 홍지문2길 20,37.6041771,126.9556929
덕성여자고등학교,고등학교,서울특별시,종로구,안국동,서울특별시 종로구 율곡로3길 50,37.5773697,126.9827378
배화여자고등학교,고등학교,서울특별시,종로구,누하동,서울특별시 종로구 필운대로1길 34,37.57849658,126.9668658
경신고등학교,고등학교,서울특별시,종로구,혜화동,서울특별시 종로구 혜화로 74,37.5914502,127.0006702
대신고등학교,고등학교,서울특별시,종로구,행촌동,서울특별시 종로구 사직로 9,37.5734256,126.9618971
경복고등학교,고등학교,서울특별시,종로구,청운동,서울특별시 종로구 자하문로28가길 9,37.5867302,126.9717701
창동고등학교,고등학교,서울특별시,도봉구,창동,서울특별시 도봉구 노해로62길 7,37.6509764,127.0383612
자운고등학교,고등학교,서울특별시,도봉구,창동,서울특별시 도봉구 노해로69길 150,37.6592612,127.0504663
효문고등학교,고등학교,서울특별시,도봉구,쌍문동,서울특별시 도봉구 우이천로 432,37.6520737,127.0183236
누원고등학교,고등학교,서울특별시,도봉구,도봉동,서울특별시 도봉구 마들로 849,37.6855142,127.0498868
영훈고등학교,고등학교,서울특별시,강북구,미아동,서울특별시 강북구 도봉로13가길 19,37.613765,127.0278332
창문여자고등학교,고등학교,서울특별시,강북구,미아동,서울특별시 강북구 월계로 61,37.6131144,127.0362812
삼각산고등학교,고등학교,서울특별시,강북구,미아동,서울특별시 강북구 삼양로19길 40,37.6160393,127.0200563
혜화여자고등학교,고등학교,서울특별시,강북구,수유동,서울특별시 강북구 인수봉로 127,37.6310519,127.0127157
성신여자고등학교,고등학교,서울특별시,성북구,돈암동,서울특별시 성북구 동소문로26가길 80,37.5942881,127.0224064
한성여자고등학교,고등학교,서울특별시,성북구,삼선동2가,서울특별시 성북구 삼선교로16길 117,37.58306327,127.0117841
고려대학교사범대학부속고등학교,고등학교,서울특별시,성북구,정릉동,서울특별시 성북구 정릉로 161,37.6098005,127.001572
홍익대학교사범대학부속고등학교,고등학교,서울특별시,성북구,성북동,서울특별시 성북구 성북로14가길 23,37.5940995,127.0032562
석관고등학교,고등학교,서울특별시,성북구,석관동,서울특별시 성북구 한천로70길 30,37.610067,127.0664232
서울대학교사범대학부설고등학교,고등학교,서울특별시,성북구,종암동,서울특별시 성북구 월곡로 6,37.59472375,127.0381187
혜원여자고등학교,고등학교,서울특별시,중랑구,망우동,서울특별시 중랑구 봉우재로58길 39,37.592991,127.0967019
송곡여자고등학교,고등학교,서울특별시,중랑구,망우동,서울특별시 중랑구 양원역로 67,37.6063172,127.1053091
송곡고등학교,고등학교,서울특별시,중랑구,망우동,서울특별시 중랑구 양원역로 50,37.6053695,127.1068868
중화고등학교,고등학교,서울특별시,중랑구,중화동,서울특별시 중랑구 봉화산로27길 62,37.6046784,127.0832703
신현고등학교,고등학교,서울특별시,중랑구,상봉동,서울특별시 중랑구 봉화산로 174,37.6052281,127.0929502
태릉고등학교,고등학교,서울특별시,중랑구,묵동,서울특별시 중랑구 신내로23길 36,37.6188414,127.0849496
휘경여자고등학교,고등학교,서울특별시,동대문구,휘경동,서울특별시 동대문구 한천로 247,37.5831849,127.0673783
경희여자고등학교,고등학교,서울특별시,동대문구,회기동,서울특별시 동대문구 경희대로 26,37.5939495,127.0548902
해성여자고등학교,고등학교,서울특별시,동대문구,전농동,서울특별시 동대문구 전농로20길 31,37.5812323,127.0569633
동국대학교사범대학부속고등학교,고등학교,서울특별시,동대문구,장안동,서울특별시 동대문구 장안벚꽃로 201,37.57804844,127.0751336
휘봉고등학교,고등학교,서울특별시,동대문구,휘경동,서울특별시 동대문구 한천로 290,37.5864773,127.0688515
건국대학교사범대학부속고등학교,고등학교,서울특별시,광진구,화양동,서울특별시 광진구 능동로 120,37.53918331,127.0747099
대원여자고등학교,고등학교,서울특별시,광진구,중곡동,서울특별시 광진구 용마산로22길 26,37.563079,127.0889497
동국대학교사범대학부속여자고등학교,고등학교,서울특별시,광진구,구의동,서울특별시 광진구 광나루로36길 47,37.5425112,127.0867784
노원고등학교,고등학교,서울특별시,노원구,상계동,서울특별시 노원구 노원로 586,37.6624531,127.0531016
불암고등학교,고등학교,서울특별시,노원구,중계동,서울특별시 노원구 중계로 155,37.648924,127.0801792
상계고등학교,고등학교,서울특별시,노원구,상계동,서울특별시 노원구 노해로 432,37.6525328,127.0556823
정의여자고등학교,고등학교,서울특별시,도봉구,쌍문동,서울특별시 도봉구 노해로49길 69,37.6529105,127.0318063
청량고등학교,고등학교,서울특별시,동대문구,청량리동,서울특별시 동대문구 왕산로 303,37.5887771,127.0510593
대성고등학교,고등학교,서울특별시,은평구,갈현동,서울특별시 은평구 갈현로29길 51-24,37.6222852,126.9095921
수락고등학교,고등학교,서울특별시,노원구,상계동,서울특별시 노원구 동일로245길 143,37.6827335,127.0535593
선덕고등학교,고등학교,서울특별시,도봉구,쌍문동,서울특별시 도봉구 시루봉로 53,37.655351,127.0268289
도봉고등학교,고등학교,서울특별시,도봉구,도봉동,서울특별시 도봉구 도봉산길 27,37.6867707,127.0428051
신일고등학교,고등학교,서울특별시,강북구,미아동,서울특별시 강북구 솔매로49길 20,37.6282824,127.0282661
미양고등학교,고등학교,서울특별시,강북구,미아동,서울특별시 강북구 인수봉로 39,37.6232973,127.0122428
용문고등학교,고등학교,서울특별시,성북구,안암동2가,서울특별시 성북구 인촌로17가길 46,37.5881284,127.0250507
경동고등학교,고등학교,서울특별시,성북구,삼선동3가,서울특별시 성북구 보문로29길 49,37.586143,127.0149687
원묵고등학교,고등학교,서울특별시,중랑구,묵동,서울특별시 중랑구 숙선옹주로 82,37.6151791,127.0855959
면목고등학교,고등학교,서울특별시,중랑구,면목동,서울특별시 중랑구 용마산로72길 36-14,37.5842779,127.0971627
대광고등학교,고등학교,서울특별시,동대문구,신설동,서울특별시 동대문구 안암로 6,37.577861,127.0247227
경희고등학교,고등학교,서울특별시,동대문구,이문동,서울특별시 동대문구 경희대로 26,37.5939495,127.0548902
광양고등학교,고등학교,서울특별시,광진구,자양동,서울특별시 광진구 자양로3가길 31,37.5293846,127.0855989
한양대학교사범대학부속고등학교,고등학교,서울특별시,성동구,사근동,서울특별시 성동구 마조로 42,37.56191893,127.042326
경일고등학교,고등학교,서울특별시,성동구,성수동1가,서울특별시 성동구 성수일로 27,37.5435875,127.0480483
중경고등학교,고등학교,서울특별시,용산구,이촌동,서울특별시 용산구 이촌로84길 34,37.5176026,126.9757149
이화여자고등학교,고등학교,서울특별시,중구,순화동,서울특별시 중구 정동길,37.56557705,126.9696428
성동고등학교,고등학교,서울특별시,중구,신당동,서울특별시 중구 퇴계로90길 17,37.5641164,127.0232038
중앙고등학교,고등학교,서울특별시,종로구,계동,서울특별시 종로구 창덕궁길 164,37.584897,126.9870352
동성고등학교,고등학교,서울특별시,종로구,혜화동,서울특별시 종로구 대학로 156,37.5850756,127.0024292
배재고등학교,고등학교,서울특별시,강동구,고덕동,서울특별시 강동구 고덕로 227,37.5558123,127.1504916
보인고등학교,고등학교,서울특별시,송파구,오금동,서울특별시 송파구 오금로49길 18,37.4972181,127.1388757
현대고등학교,고등학교,서울특별시,강남구,압구정동,서울특별시 강남구 압구정로 127,37.5250492,127.0226425
중동고등학교,고등학교,서울특별시,강남구,일원동,서울특별시 강남구 일원로 7,37.4935585,127.0804483
휘문고등학교,고등학교,서울특별시,강남구,대치동,서울특별시 강남구 역삼로 541,37.5049279,127.0620662
세화여자고등학교,고등학교,서울특별시,서초구,반포동,서울특별시 서초구 신반포로 56-7,37.5018559,126.9922636
세화고등학교,고등학교,서울특별시,서초구,반포동,서울특별시 서초구 신반포로 56-7,37.5018343,126.9922636
미림여자고등학교,고등학교,서울특별시,관악구,신림동,서울특별시 관악구 호암로 546,37.4665516,126.932908
당곡고등학교,고등학교,서울특별시,관악구,봉천동,서울특별시 관악구 봉천로21길 108,37.4916205,126.9346016
경문고등학교,고등학교,서울특별시,동작구,동작동,서울특별시 동작구 동작대로 171,37.4933383,126.9822717
장훈고등학교,고등학교,서울특별시,영등포구,신길동,서울특별시 영등포구 영등포로64길 26,37.5133645,126.9151152
대영고등학교,고등학교,서울특별시,영등포구,신길동,서울특별시 영등포구 도림로86길 16,37.50366271,126.9058641
금천고등학교,고등학교,서울특별시,금천구,시흥동,서울특별시 금천구 시흥대로38길 26,37.444959,126.9055327
우신고등학교,고등학교,서울특별시,구로구,궁동,서울특별시 구로구 부일로 917,37.4951383,126.8268765
고척고등학교,고등학교,서울특별시,구로구,고척동,서울특별시 구로구 중앙로15길 162,37.5085758,126.8506504
구현고등학교,고등학교,서울특별시,구로구,구로동,서울특별시 구로구 경인로53가길 17,37.5022028,126.8744458
등촌고등학교,고등학교,서울특별시,강서구,등촌동,서울특별시 강서구 공항대로39길 115,37.5625935,126.8450161
한가람고등학교,고등학교,서울특별시,양천구,목동,서울특별시 양천구 목동서로 15,37.5376281,126.8841248
양정고등학교,고등학교,서울특별시,양천구,목동,서울특별시 양천구 안양천로 1039,37.5347501,126.8871706
숭문고등학교,고등학교,서울특별시,마포구,대흥동,서울특별시 마포구 숭문길 99,37.5508728,126.9457596
상암고등학교,고등학교,서울특별시,마포구,상암동,서울특별시 마포구 월드컵북로 445,37.5813832,126.8836186
서울여자고등학교,고등학교,서울특별시,마포구,염리동,서울특별시 마포구 백범로25길 34,37.5478121,126.9485819
이화여자대학교사범대학부속이화금란고등학교,고등학교,서울특별시,서대문구,대신동,서울특별시 서대문구 성산로 560,37.56636584,126.947661
하나고등학교,고등학교,서울특별시,은평구,진관동,서울특별시 은평구 연서로 535,37.6409443,126.9367183
환일고등학교,고등학교,서울특별시,마포구,아현동,서울특별시 중구 환일길 47,37.553868,126.9621659
도선고등학교,고등학교,서울특별시,성동구,하왕십리동,서울특별시 성동구 마장로 156,37.566656,127.0271249
금호고등학교,고등학교,서울특별시,성동구,금호동1가,서울특별시 성동구 금호로 118,37.5536206,127.0234354
영동중학교,중학교,서울특별시,서초구,우면동,서울특별시 서초구 성촌길 14,37.4659194,127.025224
가재울중학교,중학교,서울특별시,서대문구,북가좌동,서울특별시 서대문구 수색로 100-75,37.57517285,126.9099537
가재울고등학교,고등학교,서울특별시,서대문구,북가좌동,서울특별시 서대문구 수색로 100-35,37.5743151,126.9095302
서울상현초등학교,초등학교,서울특별시,동작구,상도동,서울특별시 동작구 상도로58길 21,37.4949618,126.9527374
천왕중학교,중학교,서울특별시,구로구,천왕동,서울특별시 구로구 천왕로 63,37.48265604,126.8373334
마곡중학교,중학교,서울특별시,강서구,마곡동,서울특별시 강서구 마곡중앙5로 58,37.5679071,126.8214007
경복비즈니스고등학교,고등학교,서울특별시,강서구,등촌동,서울특별시 강서구 화곡로 379,37.5580254,126.8526703
서울공항초등학교,초등학교,서울특별시,강서구,마곡동,서울특별시 강서구 마곡서1로 68,37.5632004,126.8215615
서울공진초등학교,초등학교,서울특별시,강서구,마곡동,서울특별시 강서구 마곡서로 33,37.5578048,126.822611
서울세명초등학교,초등학교,서울특별시,강남구,세곡동,서울특별시 강남구 자곡로 55,37.46885737,127.0910573
계성고등학교,고등학교,서울특별시,성북구,길음동,서울특별시 성북구 길음로 63,37.6075189,127.0204337
환일중학교,중학교,서울특별시,중구,만리동2가,서울특별시 중구 환일길 47,37.5538139,126.9621659
서울가재울초등학교,초등학교,서울특별시,서대문구,남가좌동,서울특별시 서대문구 모래내로15길 61,37.57376622,126.9183891
서울어울초등학교,초등학교,서울특별시,은평구,녹번동,서울특별시 은평구 통일로 650,37.60656187,126.9350984
서울강솔초등학교,초등학교,서울특별시,강동구,강일동,서울특별시 강동구 고덕로97길 80,37.56186818,127.1802689
세곡중학교,중학교,서울특별시,강남구,자곡동,서울특별시 강남구 자곡로 81,37.4715425,127.0922007
서울우솔초등학교,초등학교,서울특별시,서초구,우면동,서울특별시 서초구 양재대로2길 74,37.45652907,127.0189383
서울금나래초등학교,초등학교,서울특별시,금천구,독산동,서울특별시 금천구 시흥대로79길 37,37.45822937,126.8962417
송례중학교,중학교,서울특별시,송파구,장지동,서울특별시 송파구 위례순환로 429,37.4777414,127.1396227
서울송례초등학교,초등학교,서울특별시,송파구,장지동,서울특별시 송파구 위례순환로 439,37.4777342,127.1383172
